,year,job,gender_dominant_group,gender_prop_diff
15,1850,Architect,only male,1.0
16,1850,Artist / Art Teacher,only male,1.0
19,1850,Author,only male,1.0
21,1850,Baker,male dominant,0.9862191294856051
23,1850,Barber / Beautician,male dominant,0.9487764676049195
24,1850,Bartender,only male,1.0
25,1850,Bill Collector,only male,1.0
30,1850,Boilermaker,only male,1.0
32,1850,Bookkeeper,only male,1.0
38,1850,Cabinet Maker,male dominant,0.9947401312363295
40,1850,Carpenter,male dominant,0.9935830527242528
45,1850,Chemist,only male,1.0
47,1850,Clergyman,male dominant,0.9931560223615111
48,1850,Clerical Worker,only male,1.0
59,1850,Delivery Man,only male,1.0
61,1850,Dentist,only male,1.0
62,1850,Designer,only male,1.0
66,1850,Draftsman,only male,1.0
67,1850,Dressmaker / Seamstress,female dominant,-0.8336079077429983
70,1850,Editor / Reporter,only male,1.0
77,1850,Engineer - Civil,only male,1.0
80,1850,Engineer - Mechanical,only male,1.0
83,1850,Engraver,only male,1.0
84,1850,Entertainer,only male,1.0
86,1850,Farm Foreman,male dominant,0.98766110805693
87,1850,Farm Laborer,male dominant,0.991168953457089
89,1850,Farmer,male dominant,0.9855489773618726
90,1850,Fireman,only male,1.0
91,1850,Fisherman,only male,1.0
93,1850,Foremen,only male,1.0
96,1850,Funeral Director,only male,1.0
99,1850,Gardener / Groundskeeper,only male,1.0
102,1850,Household Worker,balanced,0.12585571353343866
106,1850,Inspector,only male,1.0
108,1850,Insurance Agent,only male,1.0
109,1850,Janitor,only male,1.0
110,1850,Jeweler,male dominant,0.9830721528534316
112,1850,Laborer,male dominant,0.9889821119649582
113,1850,Laundry / Dry Cleaning,only male,1.0
114,1850,Lawyer / Judge,only male,1.0
118,1850,Locomotive Engineer,only male,1.0
122,1850,Lumberman,only male,1.0
123,1850,Machinist,only male,1.0
124,1850,Mail Carrier,only male,1.0
125,1850,Manager / Owner,male dominant,0.9847864611022505
126,1850,Mason,only male,1.0
128,1850,Meat Cutter,only male,1.0
129,1850,Mechanic,male dominant,0.9930855069487232
135,1850,Messenger,only male,1.0
136,1850,Metal Filer,only male,1.0
138,1850,Metal Worker,only male,1.0
140,1850,Military,only male,1.0
144,1850,Miner,male dominant,0.9930927576538172
145,1850,Model Maker,only male,1.0
149,1850,Musician / Music Teacher,male dominant,0.93946658675457
150,1850,Newsboy,only male,1.0
151,1850,Nurse,female dominant,-0.75
155,1850,Operative,male dominant,0.9874634739210261
159,1850,Painter,male dominant,0.9916387267684921
164,1850,Photographer,only male,1.0
165,1850,Physician / Surgeon,only male,1.0
168,1850,Plasterer,only male,1.0
169,1850,Plumber,only male,1.0
170,1850,Policeman / Detective,only male,1.0
171,1850,Porter,only male,1.0
174,1850,Pressman,only male,1.0
176,1850,Professional - Misc,male dominant,0.9178750508198943
177,1850,Professor,only male,1.0
192,1850,Public Officials,male dominant,0.97346168856511
195,1850,Railroad Brakeman,only male,1.0
196,1850,Railroad Conductor,only male,1.0
198,1850,Real Estate Agent,only male,1.0
200,1850,Religious Worker,only female,-1.0
203,1850,Roller,only male,1.0
204,1850,Roofer,only male,1.0
205,1850,Sailor,male dominant,0.9970952387800003
206,1850,Salesman,male dominant,0.9922677460002292
207,1850,Sawyer,only male,1.0
215,1850,Security Guard,only male,1.0
217,1850,Service Worker,only male,1.0
219,1850,Sheriff / Bailiff,only male,1.0
220,1850,Ship Officers,only male,1.0
221,1850,Shipping and Receiving,only male,1.0
222,1850,Shoemaker,male dominant,0.9985507766258923
225,1850,Stationary Engineer,male dominant,0.9805862566074003
233,1850,Teacher,male dominant,0.8353949194472938
244,1850,Ticket Agent,only male,1.0
245,1850,Tool Maker,only male,1.0
246,1850,Truck / Tractor Driver,male dominant,0.9873572210921608
247,1850,Typesetter,male dominant,0.987506957758674
249,1850,Upholsterer,only male,1.0
252,1850,Waiter / Waitress,male dominant,0.9453019225561874
270,1860,Architect,only male,1.0
271,1860,Artist / Art Teacher,male dominant,0.785041748090247
274,1860,Author,balanced,0.199203187250996
276,1860,Baker,male dominant,0.9555973867788727
278,1860,Barber / Beautician,male dominant,0.9778466991581746
279,1860,Bartender,only male,1.0
280,1860,Bill Collector,only male,1.0
285,1860,Boilermaker,only male,1.0
287,1860,Bookkeeper,male dominant,0.9648938651737812
293,1860,Cabinet Maker,male dominant,0.9721572558191335
295,1860,Carpenter,male dominant,0.9941384891299593
300,1860,Chemist,only male,1.0
302,1860,Clergyman,male dominant,0.9831081081081081
303,1860,Clerical Worker,male dominant,0.9765560895557379
314,1860,Delivery Man,male dominant,0.9094612947034857
316,1860,Dentist,male dominant,0.9656357388316151
317,1860,Designer,only male,1.0
321,1860,Draftsman,only male,1.0
322,1860,Dressmaker / Seamstress,female dominant,-0.971288557513078
325,1860,Editor / Reporter,only male,1.0
332,1860,Engineer - Civil,only male,1.0
335,1860,Engineer - Mechanical,only male,1.0
338,1860,Engraver,only male,1.0
339,1860,Entertainer,only male,1.0
341,1860,Farm Foreman,male dominant,0.9750225232222187
342,1860,Farm Laborer,male dominant,0.9570607358624827
344,1860,Farmer,male dominant,0.9257213622106584
345,1860,Fireman,only male,1.0
346,1860,Fisherman,only male,1.0
348,1860,Foremen,male dominant,0.979669887278583
351,1860,Funeral Director,only male,1.0
354,1860,Gardener / Groundskeeper,male dominant,0.8982587568333671
357,1860,Household Worker,female dominant,-0.8877648868151697
361,1860,Inspector,only male,1.0
363,1860,Insurance Agent,only male,1.0
