,job,total_prop_female,year,gender_dominant_group,female_prop
0,Designer,0.5367864365918308,1850,only male,0.0
1,Designer,0.5367864365918308,1860,only male,0.0
2,Designer,0.5367864365918308,1870,only male,0.0
3,Designer,0.5367864365918308,1880,only male,0.0
4,Designer,0.5367864365918308,1900,male dominant,0.07887840670859539
5,Designer,0.5367864365918308,1910,male dominant,0.2926026336173509
6,Designer,0.5367864365918308,1920,male dominant,0.3233234421364985
7,Designer,0.5367864365918308,1930,balanced,0.5000898957209636
8,Designer,0.5367864365918308,1940,balanced,0.3621890950336223
9,Designer,0.5367864365918308,1950,male dominant,0.2448454751030905
10,Designer,0.5367864365918308,1960,male dominant,0.2611597531218602
11,Designer,0.5367864365918308,1970,male dominant,0.3070788003528374
12,Designer,0.5367864365918308,1980,balanced,0.5467679611962512
13,Designer,0.5367864365918308,1990,balanced,0.5872335949170016
14,Designer,0.5367864365918308,2000,balanced,0.582783833239623
15,Ticket Agent,0.5020746918348593,1850,only male,0.0
16,Ticket Agent,0.5020746918348593,1860,only male,0.0
17,Ticket Agent,0.5020746918348593,1870,male dominant,0.010251153254741158
18,Ticket Agent,0.5020746918348593,1880,male dominant,0.018775587031198533
19,Ticket Agent,0.5020746918348593,1900,male dominant,0.010983931921372448
20,Ticket Agent,0.5020746918348593,1910,male dominant,0.041998865797111117
21,Ticket Agent,0.5020746918348593,1920,male dominant,0.031967808640250374
22,Ticket Agent,0.5020746918348593,1930,male dominant,0.009016875456635244
23,Ticket Agent,0.5020746918348593,1940,male dominant,0.04847113670643082
24,Ticket Agent,0.5020746918348593,1950,male dominant,0.12026995655490333
25,Ticket Agent,0.5020746918348593,1960,male dominant,0.27271263405365365
26,Ticket Agent,0.5020746918348593,1970,balanced,0.4289684705487216
27,Ticket Agent,0.5020746918348593,1980,balanced,0.5832409645914974
28,Ticket Agent,0.5020746918348593,1990,female dominant,0.7153097285045928
29,Ticket Agent,0.5020746918348593,2000,female dominant,0.7461435953948885
30,Bill Collector,0.5015977758037908,1850,only male,0.0
31,Bill Collector,0.5015977758037908,1860,only male,0.0
32,Bill Collector,0.5015977758037908,1870,only male,0.0
33,Bill Collector,0.5015977758037908,1880,male dominant,0.026399155227032733
34,Bill Collector,0.5015977758037908,1900,male dominant,0.009387259480665048
35,Bill Collector,0.5015977758037908,1910,male dominant,0.060624285800204486
36,Bill Collector,0.5015977758037908,1920,male dominant,0.0984116337916527
37,Bill Collector,0.5015977758037908,1930,male dominant,0.08858952850739915
38,Bill Collector,0.5015977758037908,1940,male dominant,0.07989280023178329
39,Bill Collector,0.5015977758037908,1950,male dominant,0.17554830523835419
40,Bill Collector,0.5015977758037908,1960,male dominant,0.2288632260936225
41,Bill Collector,0.5015977758037908,1970,balanced,0.42684573196456194
42,Bill Collector,0.5015977758037908,1980,balanced,0.6128643100608939
43,Bill Collector,0.5015977758037908,1990,female dominant,0.6690628641062094
44,Bill Collector,0.5015977758037908,2000,female dominant,0.7197051884108547
45,Author,0.48396027066917224,1850,only male,0.0
46,Author,0.48396027066917224,1860,balanced,0.40039840637450197
47,Author,0.48396027066917224,1870,balanced,0.39880952380952384
48,Author,0.48396027066917224,1880,male dominant,0.11049107142857142
49,Author,0.48396027066917224,1900,balanced,0.5789197692711064
50,Author,0.48396027066917224,1910,balanced,0.375
51,Author,0.48396027066917224,1920,balanced,0.4325443786982249
52,Author,0.48396027066917224,1930,balanced,0.4000474833808167
53,Author,0.48396027066917224,1940,male dominant,0.2599396236110219
54,Author,0.48396027066917224,1950,balanced,0.3634906386252885
55,Author,0.48396027066917224,1960,balanced,0.35159081755940397
56,Author,0.48396027066917224,1970,balanced,0.3973621578738596
57,Author,0.48396027066917224,1980,balanced,0.4806477380001452
58,Author,0.48396027066917224,1990,balanced,0.5043103448275862
59,Author,0.48396027066917224,2000,balanced,0.5439773177647023
60,Editor / Reporter,0.47197776748494674,1850,only male,0.0
61,Editor / Reporter,0.47197776748494674,1860,only male,0.0
62,Editor / Reporter,0.47197776748494674,1870,male dominant,0.016852039096730706
63,Editor / Reporter,0.47197776748494674,1880,male dominant,0.03259452411994785
64,Editor / Reporter,0.47197776748494674,1900,male dominant,0.08788536972801245
65,Editor / Reporter,0.47197776748494674,1910,male dominant,0.10063970756225725
66,Editor / Reporter,0.47197776748494674,1920,male dominant,0.16761405042996647
67,Editor / Reporter,0.47197776748494674,1930,male dominant,0.20489995784285112
68,Editor / Reporter,0.47197776748494674,1940,male dominant,0.2410972935772475
