,job,total_prop_female,year,gender_dominant_group,female_prop
0,Railroad Brakeman,0.0060819515193060005,1850,only male,0.0
1,Railroad Brakeman,0.0060819515193060005,1860,only male,0.0
2,Railroad Brakeman,0.0060819515193060005,1870,only male,0.0
3,Railroad Brakeman,0.0060819515193060005,1880,only male,0.0
4,Railroad Brakeman,0.0060819515193060005,1900,male dominant,0.0014053431145214105
5,Railroad Brakeman,0.0060819515193060005,1910,male dominant,0.0026605853287723297
6,Railroad Brakeman,0.0060819515193060005,1920,male dominant,0.002483532207794344
7,Railroad Brakeman,0.0060819515193060005,1930,male dominant,0.005719517571126609
8,Railroad Brakeman,0.0060819515193060005,1940,male dominant,0.006016894599245918
9,Railroad Brakeman,0.0060819515193060005,1950,male dominant,0.0060421078858851375
10,Railroad Brakeman,0.0060819515193060005,1960,male dominant,0.002786568459965833
11,Railroad Brakeman,0.0060819515193060005,1970,male dominant,0.010276612143530017
12,Railroad Brakeman,0.0060819515193060005,1980,male dominant,0.013974089485650551
13,Railroad Brakeman,0.0060819515193060005,1990,male dominant,0.014075368105814823
14,Railroad Brakeman,0.0060819515193060005,2000,male dominant,0.03129929431299294
15,Mason,0.008262470861570491,1850,only male,0.0
16,Mason,0.008262470861570491,1860,male dominant,0.0029438605787629898
17,Mason,0.008262470861570491,1870,male dominant,0.0034069043576683646
18,Mason,0.008262470861570491,1880,male dominant,0.004143403184205347
19,Mason,0.008262470861570491,1900,male dominant,0.003356509230400384
20,Mason,0.008262470861570491,1910,male dominant,0.0013704515420298999
21,Mason,0.008262470861570491,1920,male dominant,0.003986143406254449
22,Mason,0.008262470861570491,1930,male dominant,0.0030547742189154037
23,Mason,0.008262470861570491,1940,male dominant,0.009466113861718257
24,Mason,0.008262470861570491,1950,male dominant,0.004806676526515952
25,Mason,0.008262470861570491,1960,male dominant,0.004609419028152784
26,Mason,0.008262470861570491,1970,male dominant,0.014246947082767978
27,Mason,0.008262470861570491,1980,male dominant,0.013713728565675407
28,Mason,0.008262470861570491,1990,male dominant,0.016015106175289243
29,Mason,0.008262470861570491,2000,male dominant,0.011619091014345525
30,Locomotive Engineer,0.008675180107357258,1850,only male,0.0
31,Locomotive Engineer,0.008675180107357258,1860,only male,0.0
32,Locomotive Engineer,0.008675180107357258,1870,only male,0.0
33,Locomotive Engineer,0.008675180107357258,1880,only male,0.0
34,Locomotive Engineer,0.008675180107357258,1900,male dominant,0.0018988663767730664
35,Locomotive Engineer,0.008675180107357258,1910,male dominant,0.0023650202246769214
36,Locomotive Engineer,0.008675180107357258,1920,male dominant,0.003553259211582038
37,Locomotive Engineer,0.008675180107357258,1930,male dominant,0.004409124971680521
38,Locomotive Engineer,0.008675180107357258,1940,male dominant,0.0028802828951120744
39,Locomotive Engineer,0.008675180107357258,1950,male dominant,0.002392859403684244
40,Locomotive Engineer,0.008675180107357258,1960,male dominant,0.002497288298060187
41,Locomotive Engineer,0.008675180107357258,1970,male dominant,0.011884423976825374
42,Locomotive Engineer,0.008675180107357258,1980,male dominant,0.016646795491867816
43,Locomotive Engineer,0.008675180107357258,1990,male dominant,0.026868415470550803
44,Locomotive Engineer,0.008675180107357258,2000,male dominant,0.03903586125808348
45,Boilermaker,0.008974266639604189,1850,only male,0.0
46,Boilermaker,0.008974266639604189,1860,only male,0.0
47,Boilermaker,0.008974266639604189,1870,only male,0.0
48,Boilermaker,0.008974266639604189,1880,only male,0.0
49,Boilermaker,0.008974266639604189,1900,male dominant,0.003504345388281469
